date,seconds,symbol,open_interest,year_to_expiration,is_call,strike_price,prev_close,prev_volume,trade_price,trade_qty,volume,bid,bidqty,ask,askqty,u_trade_px,u_trade_qty,u_volume,u_bid,u_bidqty,u_ask,u_askqty,u_sigma
20250106,3.871,VALEM625,3606800,0.03,0,60.36,7.61,37400,6.9,100,100,1.15,1000,0,0,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,4.651,VALEM62,1434400,0.03,0,59.86,7.09,66000,6.1,100,100,6,100,6.7,100,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,5.661,VALEA565,886300,0.03,1,54.36,0.35,2760400,0.6,100,100,0.04,100,0.65,100,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,6.392,VALEA565,886300,0.03,1,54.36,0.35,2760400,0.8,100,200,0.04,100,0.8,4800,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,6.431,VALEB595,357400,0.13,1,57.36,0.48,306800,0.52,100,100,0.5,200,0.55,3300,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,8.66,VALEM494,213600,0.03,0,49.11,0.09,115800,0.13,7300,7300,0.11,3100,0.16,1000,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,8.985,VALEB595,357400,0.13,1,57.36,0.48,306800,0.54,6700,6800,0.5,200,1.18,1900,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,10.006,VALEB595,357400,0.13,1,57.36,0.48,306800,0.55,100,6900,0.55,13200,1.18,5100,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,10.233,VALEA565,886300,0.03,1,54.36,0.35,2760400,0.56,1500,1700,0.25,500,0.57,1400,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,12.828,VALEB595,357400,0.13,1,57.36,0.48,306800,0.55,3400,10300,0.5,200,0.88,300,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,15.493,VALEB595,357400,0.13,1,57.36,0.48,306800,0.55,3400,13700,0.5,200,0.88,500,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,15.718,VALEM494,213600,0.03,0,49.11,0.09,115800,0.11,7100,14400,0.03,3600,0.16,3100,53.24,0,0,53.24,500,53.5,100,0.332757
20250106,15.718,VALEM494,213600,0.03,0,49.11,0.09,115800,0.1,100,14500,0.03,3600,0.1,7800,53.24,0,0,53.24,500,53.5,100,0.332757
